frock,Year,Aftercore Tier,Good derivatives?,IOTY?,Con Item?,Account Bound?,
grey gosling,2022,-1,,,,1,"Imagine the Robort but as a fairy. Doubles the number of item drops you get, but reliant on market knowledge. GOOSO IS LIT."
unpowered Robortender,2017,-1,,,,1,"Tied for best familiar in the game. Double leprechaun, drops candy, heap items, etc, generates Fites so it's also batshit for PvP."
book of facts,2023,0,,,,1,"15-18 frontloaded copies, passive drops, 11 RO advs, 3 pocket wishes a day, enables some farming shitposts with BofA drops"
cursed monkey glove,2023,0,,,,1,"Grants any 5 wishable effects for 30 turns, giving +225-300k meat from embezzlers or 20-25 adventures from salty mouth"
packaged backup camera,2021,0,,,,1,"11 monster copies per day; high meat, ML, or init bonus"
mint-in-box Powerful Glove,2020,0,,,,1,10 Macrometeors = 10 embezzlers a day with Extro
Kramco Industries packing carton,2019,0,,,,1,"Free fight goblins, +23 free turngen a day"
packaged Pocket Professor,2019,0,,,,1,"20? monster copies per day, +11 turngen a day"
Pocket Meteor Guide,2017,0,,,,1,10 Macrometeors = 10 embezzlers a day with Extro
li'l orphan tot,2016,0,,,,1,"Double halloween value. Extremely powerful, but only relevant ~4 days a year (plus Jill Maps)"
Source terminal,2016,0,,,,1,"20+ monster copies per day, 300 turns of +60% meat or +30% items"
fairy-worn boots,2011,0,,,,1,"Same function as Bandersnatch but it attacks so it might kill stuff when you don't want that to happen, generates spleen items"
Apathargic Bandersnatch,2009,0,,,,1,"50+ free runaways with Ode, charges stinky cheese, pantsgiving, sweatpants"
legendary seal-clubbing club,2026,1,,,,1,"5 free kills, 5 enamorangs, 5 pickpockets a day"
blood cubic zirconia,2025,1,,,,1,"12 or more free kills per day, plus 12 weird-nosts for item farmers. also has a meat buff"
skeleton of crimbo past,2025,1,,,,1,trade up to 30 days worth of knucklebones for a rethinking candy!
cooler yeti,2025,1,,,,,worth 30-40 turngen a day if you can charge it up
chest mimic,2024,1,,,,1,11 more copies a day if you can stack 500 fxp
Roman Candelabra,2024,1,,,,,I think this is worth 15 embezzlers?
cincho de mayo,2023,1,,,,1,"Worth about 7 NC forces for yachtzee, better than parka and will only ever get better"
closed-circuit pay phone,2023,1,,,,1,"11+ free fights, 60k daily flag, 30-turn buff for 200% meat, 100% item, 100% init, and -10% combat that you can get arbitrary duration for"
packaged model train set,2022,1,,,,1,lots of mp and effective +250 meat every fight
cold medicine cabinet,2021,1,Yes,,,1,"5 x (3 monster copies per day) or (5 free outdoor combats) at cost of spleen, don't need to own to benefit"
SongBoom&trade; BoomBox Box,2018,1,Yes,,,1,"Generates special seasoning for +1 adv per food, or increases base meat drop with Total Eclipse of Your Meat"
LI-11 Motor Pool voucher,2017,1,,,,1,"Infinite banish, infinite meat buff"
airplane charter: Dinseylandfill,2015,1,Yes,,,1,GARBO
Apriling band helmet,2024,2,,,,1,3 clovers and 3 sneaks per day
mini kiwi,2024,2,Yes,,,,"aioli is boneless milk of magnesium, possibly best crotchbjorn fam"
patriotic eagle,2023,2,,,,1, 
combat lover's locket lockbox,2022,2,,,,1,3 unique faxes per day; encountered monsters saved forever (all can be pulled in standard!)
designer sweatpants,2022,2,,,,1,3 more liver per day / free MP restore / +fites spleen item; charges on *every* combat
jurassic parka,2022,2,,,,1,Spikos are 5 free noncom forces for yachtzee/etc
undrilled cosmic bowling ball,2022,2,,,,1,"Skills are unlimited but increasing shared cooldown: banish, big meat/item buff, +50% stat gain; or use for 100 damage 1/combat"
emotion chip,2021,2,,,,1,"Swiss army knife of helpful skills (3x each) - banish, copy last drop table, non-lethal YR, -combat, +xp, +survivability, weird teleportitis with +item"
packaged miniature crystal ball,2021,2,,,,1,Adds 1 copy per CMC extrov
baby camelCalf,2020,2,,,,1,"Charge spit for 23 combats, pair with Nostalgia and GOOSO for profit"
red-spotted snapper roe,2019,2,,,,1,"Fight 11 phylum monsters for spleen drops, dude/hobo normally; humanoid/weird/pirate are not terrible; hobo cologne gives +++meat drop (40k in mall!)"
corked genie bottle,2017,2,Yes,,,1,"Generates passive income, 150k a day or on-demand effects/monsters"
space planula,2017,2,,,,1,"Jelly typically has dumb effects for world events: 10% discount, force noncombat, extra yellow rays"
Witchess Set,2016,2,Yes,,,1,5 free fights and high value drops
portable Mayo Clinic,2015,2,,,,,"Gives 1 adv per food, turns your liver into a second stomach for PvP"
container of Spooky Putty,2009,2,,,,,5 copies a day
McHugeLarge ski set,2025,3,,,,1,3 sneaks and 3 olfacts per day
mobius ring,2025,3,,,,1,"extra free fights when doing zone quests, can crank to 13 and then keep generating clocks"
Everfull dart holster,2024,3,,,,1,"1 free kill every 30 advs, matches with spring shoes"
spring shoes,2024,3,,,,1,"eh, it's probably about as good as cosmic bowling ball for aftercore"
S.I.T. Course Voucher,2023,3,,,,1,more crap after combats! has a meat drop potion!
packaged June Cleaver,2022,3,,,,1,Generates 15+ adventures a day; NCs give -combat/+meat/+adv/+exp tradeable items and highest stat food in game; charges on *every* combat
January's Garbage Tote (unopened),2018,3,,,,1,Double exp and Double item drop for 37 and 11 combats respectively.
Neverending Party invitation envelope,2018,3,Yes,,,1,"Highest stat scalers in the game,  permanent +1 liver, 10 free fights, DUFFO"
airplane charter: The Glaciest,2015,3,Yes,,,1,Perfect ice is 3k mpa or 6k mpa with GOOSO
airplane charter: Conspiracy Island,2014,3,Yes,,,1,SMOKO is sometimes a viable alternative to GARBO (not anymore)
Buddy Bjorn,2014,3,,,,,Lots of familiars generate valuable items while riding.
Clan VIP Lounge invitation,2009,3,Yes,,,1,"Fax machine, Speakeasy has a +1 liver skill, is one of the only Mr. Items that get more features every year"
packet of mayfly bait,2008,3,,,,1,"Daily 30 free runs to charge stinky cheese, pantsgiving, sweatpants, stillsuit, bowling ball, anything that likes free runaways"
Archaeologist's Spade,2026,4,Yes,,,1,"-1  stomach, some other stuff"
prismatic beret,2025,4,,,,,"salty mouth or buff turns, needs you to have a lot of stuff to be worth it"
allied radio backpack,2025,4,Yes,,1,1,3 sneaks a day / sellable radios
shrunken head,2025,4,,,,1,"either a +50 item/meat buff, or the world's worst gooso. alledgedly triples runtime for scripted farming"
Bat wings,2024,4,,,,,"5 free fights per day, HP/MP restore, 11 bonus pickpockets/day"
TakerSpace,2024,4,,,,1,potentially good if you can use the dumb pickpocket attack
august scepter,2023,4,,,,1,"-1  stomach, some other stuff"
autumn-aton,2022,4,,,,1,"Can send it to grab up to 5 zone items per mission, can easily send 13+ times a day but depends on target"
tiny stillsuit,2022,4,,,,1,Obnoxious fake booze that eventually outclasses anything. Pain to charge but charges on everything.
Fourth of May Cosplay Saber kit,2019,4,,,,1,"5 rollover runaway-type banishes, YRs, and/or native zone wanderers"
mint condition Lil' Doctor&trade; bag,2019,4,,,,1,3 banishes and 3 free kills
latte lovers club card,2018,4,,,,1,"item, meat and famwt all in one offhand, 4 banishes"
Pokefam Guide to Capturing All of Them,2018,4,,,,1,"Gives 3 fertilizers per day that enable rapid growth of other gardens, +1 liver for nightcapping."
suspicious package,2017,4,,,,1,"3 banishes, up to 400 turns of +100% meat or +50% item"
xo-skeleton-in-a-box,2017,4,,,,1,"11 hugpockets per day, Xs and Os are sometimes valuable"
KoL Con 13 snowglobe,2016,4,,,1,,"Randomly drops rare food/booze/potions which you can sell for lots of meat, it's your least bad offhand option"
airplane charter: That 70s Volcano,2015,4,Yes,,,1,"Volcano mining is 3k mpa, buy 1-day tickets if you want this"
yellow puck/with a bow on it,2015,4,,,,1,"Yellow pixels make potions, power pills are free kills"
Libram of Pulled Taffy,2013,4,Yes,,,1,"Blue taffy makes GOOSO go, red taffy underwater for random drops"
Pantsgiving,2013,4,,,,,"Use 50 free runaways to get +1 fullness twice, pair with melange and distention pill to fit another slider"
Unagnimated Gnome,2012,4,,,,1,Is a riftlet in addition to a fairy but gives up equip slot.
Tome of Clip Art,2011,4,Yes,,,1,"Several valuable consumables available, +20 turngen a day as long as you ascend"
Crown of Thrones,2010,4,,,,,"Bjorn for your head, but hats are generally better than backs so this is marginally worse by comparison"
stinky cheese ball,2010,4,,,,,"10 RO adv pants that you can charge with free runaways, 1 banish a day"
mm,2006,4,,,,1,Silk garter snake replacement
miniscule temporal rip,2005,4,,,,1,Generates adventures at a rate of wt/1000 but otherwise useless as a familiar
silk garter snake,2005,4,,,,1,A fat snake allows meat stasis for zero adventure commitment
heartstone,2026,5,,,,1,this seems like it'll be completely impossible to use effectively
tiny cupid bow,2025,5,,,,1,potential! does something when fighting sandworms
CyberRealm,2025,5,Yes,1,,1,"10 free fights a day, but in a fairly low-value zone"
leprecondo,2025,5,,,,1,"rotating +fxp, +meat, +item, drops. it's like a balanced version of trainrealm"
peridot of peril,2025,5,,,,,cookbat synergy! otherwise not very useful. can be used to fish for end-of-day sausage/time cops
april shower thoughts calendar,2025,5,,,,,a couple of nice buffs but nothing really special
monodent of the sea,2025,5,,,,1,"transforms zones into underwater and allows fishy, has 11 full-day banishes which might be good"
clan vip photo booth,2024,5,,,,1,3 free kills a day but they are bad
Mayam calendar,2024,5,,,,,"Extra +5 advs and fites daily, 10 with stone wool (once)"
tearaway pants,2024,5,,,,,has a stupid synergy with ELG to maybe +5 advs a day. will go sicko mode if garbo ever has to fight plants. totes went sicko mode crimbo 2024!
peace turkey,2024,5,,,,1,"if you can spam runaways, this is very very slightly useful"
2002 Mr. Store,2023,5,Yes,,,1,"Grants 3 free ""2002 IotM"" a day, VHS tape/microphone are not useless but kind of hard to use efficiently"
A Guide to Burning Leaves,2023,5,,,,1,Does not actually have anything of value but generates more postcombat bloat
Jill-of-All-Trades,2023,5,,,,1,"Only good as a 1.5x lep for people without Robort, but it's significantly worse still"
Rock Garden Guide,2023,5,,,,1,"30k daily flag, potentially stupid with poke-gro"
wardrobe-o-matic,2023,5,,,1,1,sometimes beats other BiS +item/meat items. +5 fxp on fam equip is unprecedented but also very marginal
cookbookbat,2022,5,Yes,,,1,"Can make very powerful buff foods but limited by ingredients, the fam itself is mostly irrelevant in aftercore. Bonus ingredients from Autumn-aton"
Deed to Oliver's Place,2022,5,,,,1,3 DMT-like free fights per day. The base fights have 0.5% rare drops!
mint condition magnifying glass,2022,5,,1,,1,5 free fights that need turn-taking fights to charge; tiny chance of dropping decent knife
undamaged Unbreakable Umbrella,2022,5,,,,1,"All-purpose offhand for +meat/stats; foldable for -combat/+ML/+item/+damage/+DR, all things that basically don't matter in aftercore."
packaged Daylight Shavings Helmet,2021,5,,,,1,"Rotates a 100% meat buff for 12/110 turns, is dumb"
packaged fire extinguisher,2021,5,,,,1,10 hugpockets per day
power seed,2021,5,Yes,,,1,"Gives access to an arbitrary YR free kill, but only 7/4 power per day"
shortest-order cook,2021,5,,,,1,"kickstarts all your other familiars, but the first few pounds are pretty easy to get anyway"
Better Shrooms and Gardens catalog,2020,5,,,,1,"Grows meme mushrooms every 5 days, otherwise not great"
Comprehensive Cartographic Compendium,2020,5,,,,1,"3 monsters on demand, but normal monsters aren't very good"
Guzzlr application,2020,5,,,,1,Boooooooze
packaged knock-off retro superhero cape,2020,5,,,,1,"Gun crit option for pointer ring (best with ice nine), sword option instakills all village/castle dread monsters"
packaged SpinMaster&trade; lathe,2020,5,,,,1,"Rare wood is sometimes valuable, usually useless. Has a giant delevel stick."
sinistral homunculus,2020,5,,,,1,"Extra offhand, usually outclassed by a real familiar. Any time this is being used, it is probably being used for something silly or PvP"
unopened Bird-a-Day calendar,2020,5,,,,1,meat bird
Beach Comb Box,2019,5,Yes,,,1,COMBO is lit
PirateRealm membership packet,2019,5,Yes,,,1,"Lucky gold ring gives passive income. Meat crabs, meat cockroaches, cocoa of youth, trash island"
Retrospecs try-at-home kit,2019,5,,1,,1,
rune-strewn spoon cocoon,2019,5,,,,1,Double dip in moonzones for pvp
unopened diabolic pizza cube box,2019,5,,,,1,"Pizzas can wish for big effects, SINU pizza, etc"
Unopened Eight Days a Week Pill Keeper,2019,5,,,,1,1 free semirare/noncom per day
vampyric cloake pattern,2019,5,,,,1,"Single turn 50% meat and 50% item buff, makes DG ensorcels 25% better"
Boxing Day care package,2018,5,Yes,,,1,Slowly scaling statgain and +11 fites a day; gives damage spell that scales with gym investment
God Lobster Egg,2018,5,,,,1,3 free fights per day; multiple pieces of unique equipment
kerosene-soaked skip,2018,5,,1,,1,drops burning newspaper
kitten burglar,2018,5,,,,1,10 combats to get a free out of combat pickpocket
voter registration form,2018,5,Yes,,,1,"3 free fights, ghost and mutant voters are usually pretty valuable"
heart-shaped crate,2017,5,,,,1,"3 scaling fights that give potions if fought correctly, +3 adv per day or +1 wandering monster"
Horsery contract,2017,5,,,,1,6?! how dare you disrespect my 30~ meat per combat
locked mumming trunk,2017,5,,,,1,Gives armed familiar +30% meat or +15% items
New-You Club Membership Form,2017,5,Yes,,,1,Affirmation cookie is the best 1-fullness turngen food
pantogram,2017,5,,,,1,generate fake hands to sell to SSBBhax
Spacegate access badge,2017,5,,,,1,Special planets have expensive half-melanges or super expensive primitive alien drops
Batfellow comic,2016,5,,1,,1,Yes... ha ha ha... YES!
Build-a-City Gingerbread kit,2016,5,Yes,,,1,Possibly valuable if you can squat the leaderboard
Dear Past Self Package,2016,5,,,,1,"Re-eat tradable food, re-fight queued monsters (+3 copies with extrov)"
disconnected intergnat,2016,5,,,,1,"Drops 1.8 BACONs per fight, can buy a print screen and daily dungeon malware once per day each (5000 BACON = passive production w/o iotm)"
DIY protonic accelerator kit,2016,5,,,,1,"Mr. Screege's spectacles, ghost fight every 51 advs"
Gygaxian Libram,2016,5,,,1,1,
LT&T telegraph office deed,2016,5,Yes,,,1,"Hard scaling fights with restrictive bosses, Buffalo Dimes buy stuff"
potted tea tree,2016,5,,,1,1,"Generates 1 royal, sobrie, voraci tea per day"
Tome of Rad Libs,2016,5,,,1,1,Nobody knows how this thing works
X-32-F snowman crate/Snojo,2016,5,,,,1,"10 free fights, snokebomb scroll on day 5"
bottle of lovebug pheromones,2015,5,,,,1,Drops charter currency when in those zones
Chateau Mantegna room key,2015,5,,,,1,1 monster copy
golden monkey statuette,2015,5,,1,,1,
haunted doghouse,2015,5,,,,1,Drops charter currency when in those zones
machine elf capsule,2015,5,,,,1,1/ascension duplicate for tradable consumables
shrine to the Barrel god,2015,5,,,,1,Passive income is always cool
airplane charter: Spring Break Beach,2014,5,Yes,,,1,"Previously ranked 5, the influx of NC forcers have moved this way up due to the sheer amount of raw meat generated/day.
Probably ranked worse again now with the nerf."
Crimbo sapling,2014,5,,,,1,Duplicates rares that go into a pool for other people
fist turkey outline,2014,5,,,,1,5/day Ambitious Turkey
deanimated reanimator's coffin,2013,5,,,,1,"3 monster copies a day, but you can't control when they occur"
Folder Holder,2013,5,,,,1,"Gives +500% item in Dread, sometimes folders sell for meat"
can of Rain-Doh,2012,5,,,,,5 (or 1) additional copy per day
Libram of Resolutions,2012,5,,,,1,
a cute angel,2011,5,,,,1,"3 monster copies a day, but you can't control when they occur"
mysterious chest,2011,5,Yes,,,1,Distention and dog hair pills are +1 organ per day each
Greatest American Pants,2010,5,,,,,A bunch of free runs per day 
Libram of BRICKOs,2010,5,,,,1,"Brickos are free fights, can do 10 a day, big bricko monsters drop valuables"
squamous polyp,2009,5,,,,1,Generates +1 adventure at rollover for every 7.5 underwater adventures
Tome of Sugar Shummoning,2009,5,,,,1,conjure up candy for synth
haiku katana,2008,5,,,,,Enables crit for pointer ring if you aren't a seal clubber.
spooky rattling cigar box,2008,5,,,,1,PvP slot
navel ring of navel gazing,2007,5,,,,,A bunch of free runs per day 
V for Vivala mask,2007,5,,,,,Generates +10 adv per day if you crit ghosts enough times
sept-ember censer,2024,6,yes,,,1,"this actually does nothing for aftercore, but helps you powerlevel!"
black and white apron whatever,2024,6,Technically yes,1,,1,terrible
unevolved organism,2024,6,,,1,,this is literally useless
candy cane sword cane,2023,6,,,,1,"other than the free +100 x level meat per day, basically does nothing in aftercore"
unoccupied sheep suit,2023,6,,1,,1,:(
MayDay Contract,2022,6,,,,1,a daily handful of garbage; slotless at least
bottled vampire vintner,2021,6,,,,1,
fresh can of paint,2021,6,,1,,1,
Our Daily Candles order form,2021,6,,,,1,
packaged familiar scrapbook,2021,6,,,,1,gives % all stat gain and regen; charges with normal fam use; spend charge for free banish
bag of Iunion stones,2020,6,,,,1,
bagged Cargo Cultist Shorts,2020,6,Yes,,,1,1/day pocket for 50k meat
box o' ghosts,2020,6,,,,1,
Distant Woods Getaway Brochure,2019,6,,,,1,Platypus buff every 1/9 days
elf sleeper agent,2019,6,,1,,1,
Bastille Battalion control rig crate,2018,6,,,,1,Small meat buff; +8 adv melting gear
FantasyRealm membership packet,2018,6,Yes,,,1,"A 4/4 RO weapon, high mainstat gear, +item/meat/mys ring; actively detrimental to lucky gold ring (dilutes drop pool with rubees)"
hopeful candle,2017,6,,1,,1,
basking robin,2016,6,,1,,1,Robin's eggs are sometimes valuable for PvP
detective school application,2016,6,,,,1,
Gordon Beer's Beer Garden Catalog,2016,6,,,1,1,Sometimes valuable growths when combined with pokegarden
Granny Tood's Thanksgarden Catalog,2016,6,Yes,,,1,Renewable source of stuffing fluffers (can end war with no combats); thanksgetting +item/meat/weight buff (18 fullness for full effect)
Xi Receiver Unit,2016,6,,,1,1,Just buy transmissions and decode for blueprints/residual zeal
Ed the Undying exhibit crate,2015,6,,,,1,Underwater breathing
Pack of Every Card,2015,6,Yes,,,1,30 turngen a day if you can afford blue mana; talking spade for bragging rights (obsolete with mafia)
Professor of Spelunkology,2015,6,,1,,1,
Discontent Winter Garden Catalog,2014,6,,,,1,Frost flowers every 3 days!
hibernating Grimstone Golem,2014,6,,1,,1,
Little Geneticist DNA-Splicing Lab,2014,6,,,,,
praying Grim Brother,2014,6,,1,,1,
Sneaky Pete's leather jacket,2014,6,,,,,Best non-AT rollover shirt
still grill,2014,6,,,,1,
The Confiscator's Grimoire,2014,6,,,,1,
Thor's Pliers,2014,6,,,,,10 free smithings a day
adventurer clone egg,2013,6,,,,1,
avatar of the Unconscious Collective,2013,6,,1,,1,
dreaming Jung man,2013,6,,1,,1,Jars of psychosis for unique swords (or sell for 50-90k)
GameInformPowerDailyPro subscription card,2013,6,Yes,,,1,Scaling zone with a fat loot token
Jarlsberg's pan,2013,6,,,,,
KoLHS Pep Squad Box,2013,6,,,,1,
Order of the Green Thumb Order Form,2013,6,,,,1,
Snow Suit,2013,6,,,,,20lb familiar equip for 5 turns
The Smith's Tome,2013,6,Yes,,,1,Louder Than Bombs are an abundant source of banish/runs
Boris's Helm,2012,6,,,,,
box of bear arms,2012,6,,,,,
Camp Scout backpack,2012,6,,,,,
deactivated nanobots,2012,6,,,,1,1/day banish
Moping Artistic Goth Kid,2012,6,,,,1,
Pete & Jackie's Dragon Tooth Emporium Catalog,2012,6,,,,1,
Small Medium,2012,6,,,,1,
The Groose in the Hoose,2012,6,,1,,1,
The Kloop in the Coop,2012,6,,1,,1,
Thinknerd's Grimoire of Geeky Gifts,2012,6,,,,1,
Loathing Legion knife,2011,6,,,,,"Familiar frequency rate, obsolete due to short foods"
Make-Your-Own-Vampire-Fangs kit,2011,6,,,,,
Mint Salton Pepper's Peppermint Seed Catalog,2011,6,,,,1,
My Own Pen Pal kit,2011,6,,,,1,
Operation Patriot Shield,2011,6,,,,,
rehearsing dramatic hedgehog,2011,6,,1,,1,
sleeping piano cat,2011,6,,1,,1,
Sorcerers of the Shore Grimoire,2011,6,,,,1,
stuffed-shirt scarecrow,2011,6,,,,1,Charge your sweatpants and pantsgiving at the same time.
glowing frisbee,2010,6,,,,1,Tokens & tickets sell quickly; unlock -100ML acc for advanced slimetube strat or if game iz 2 hard :(
Grumpy Bumpkin's Pumpkin Seed Catalog,2010,6,,,,1,
hibernating robot reindeer,2010,6,,,,1,
hungover chauvinist pig,2010,6,,1,,1,
Juju Mojo Mask,2010,6,,,,,
organ grinder,2010,6,,,,1,
panicked kernel,2010,6,,,,1,Randomly cleeshes monsters; was designed wrong as a joke
perfectly ordinary frog,2010,6,,1,,1,
Schmalz's First Prize Beer,2010,6,,,,1,
Bag o' Tricks,2009,6,,,,,extend 5 random buffs by 3 turns
Elvish sunglasses,2009,6,,,,,takes up a display case slot
floaty stone sphere,2009,6,,,,1,
infant sandworm,2009,6,,,,1,"Source of agua da vida; 4 spleen adv drop, unlocks content and 2 gear sets"
Libram of Love Songs,2009,6,,,,1,
moveable feast,2009,6,,,,,"Gives 5 familiars +10 weight, useful targets include Banderboots, Pocket Prof, meat drop familiars"
passed-out psychedelic bear,2009,6,,1,,1,
suspicious stocking,2009,6,,,,1,"fat stasis fam, now mostly outclassed by straight meatdrop familiars"
tiny costume wardrobe,2009,6,,,,,Turns any familiar into a doppleshifter; ideal for stooper/+init fams; combine with full-weight homemade robot for Fun
uniclops egg,2009,6,,1,,1,
candy cornucopia,2008,6,,,,1,
cotton candy cocoon,2008,6,,,,1,
Libram of Divine Favors,2008,6,,,,1,
little box of fireworks,2008,6,,,,,Slotless 5lb familiar equip with 12.5% item drop
llama lama cria,2008,6,,,,1,
naughty origami kit,2008,6,,,,,
sane hatrack,2008,6,,,,1,PvP slot
Scratch 'n' Sniff Sticker Tome,2008,6,,,,1,
siesta-ing Casagnova gnome,2008,6,,1,,1,
"Sp'n-Zor's Grimoire of ""Tasteful"" Gifts",2008,6,,,,1,
unemployed hunchbacked minion,2008,6,,1,,1,
bad penguin egg,2007,6,,,,1,
bottle-rocket crossbow,2007,6,,,,,
bottled green pixie,2007,6,,,,1,
class five ecto-larva,2007,6,,,,1,
Crimbo P. R. E. S. S. I. E.,2007,6,,,,1,
dandy lion cub,2007,6,,,,1,
Great Ball of Frozen Fire,2007,6,,,,,
jitterbug larva,2007,6,,1,,1,
Libram of Candy Heart Summoning,2007,6,,,,1,
Mayflower bouquet,2007,6,,,,,
nervous tick egg,2007,6,,1,,1,
wizard action figure,2007,6,,,,1,
astral badger,2006,6,,,,1,
calm attention-deficit demon,2006,6,,1,,1,
homeless hobo spirit,2006,6,,,,1,
iceberglet,2006,6,,,,,
jewel-eyed wizard hat,2006,6,,,,,Extra buff turns
March hat,2006,6,,,,1,
McPhee's Grimoire of Hilarious Object Summoning,2006,6,,,,1,
pilgrim shield,2006,6,,,,,
plastic pumpkin bucket,2006,6,,,,,
Tome of Snowcone Summoning,2006,6,,,,1,
Travoltan trousers,2006,6,,,,,5% discount from npc stores (doesn't stack with sweatpants)
unwound cymbal-playing monkey,2006,6,,1,,1,
yuletide troll chrysalis,2006,6,,,,1,
Cheshire Bitten,2005,6,,1,,1,
coffee sprite,2005,6,,1,,1,
deflated inflatable dodecapede,2005,6,,,,1,
doppelshifter egg,2005,6,,,,1,
emo roe,2005,6,,,,1,
Jekyllin hide belt,2005,6,,,,,
lucky Tam O'Shanter,2005,6,,,,,Entirely obsoleted by amulet coin
miniature gravy-covered maypole,2005,6,,,,,Entirely obsoleted by luck incense
orphan baby yeti,2005,6,,,,1,
personal raindrop,2005,6,,,,1,
pygmy bugbear shaman,2005,6,,,,1,
sweet nutcracker,2005,6,,,,1,
wax lips,2005,6,,,,,
crimbo elfling,2004,6,,,,1,
Dark Jill-O-Lantern,2004,6,,,,1,
hand turkey outline,2004,6,,,,1,Status symbol